,text,label,explanation
0,"I run the machine for the jeans etc., which are made of their loops.",0,i
1,"Apart from this, sir, after doing normal work at home, then friends have fun in yari, after that they go home.",0,i
2,"Sir, income is work in contract, Sir what happens, sometimes 10 thousand work is done, sometimes it becomes 15, sometimes even 20 of 18, I have not done it because there is no work.",0,i
3,"Almost in a month - there is work according to the contract, to earn, I earn 18 too, there is an account on the work.",0,i
4,my name is Sonu.,0,i
5,"By the way, I am from Delhi, I live in Budh Bihar.",0,i
6,"There is a mother - father, sister - brother in the house.",0,i
7,"Brother is younger and has an elder sister, younger than me, I am the eldest in the house.",0,i
8,"Father, by the way, does not do anything now, although he used to work in the airport.",0,i
9,No mommy doesn't do anything.,0,i
10,The house is currently on rent.,0,i
11,No sir it is first floor.,0,i
12,"It has 2 rooms kitchen, lettering, bathroom.",0,i
13,The landlord is fine.,0,i
14,I am the operator of commodities.,0,i
15,"Then it didn't get better after that, then took me to another doctor, then used to give sleeping medicines, I got some normal, then gradually this problem happened again to me, I was scared, someone died, then I Feeling scared, something started happening, breathing started happening, it started getting hot, restlessness started, I should run away somewhere, I should do something, then such meanings started coming, then from there I.",1,"The Person is showing clear signs of depression such as anxiety, and panic."
16,"Sir, I have got more than 7-8 months there, now I have the slip.",2,h
17,"Hanji, it was fine, as long as I got the medicine, I am taking the medicine in the routine for 6 months after taking the medicine, then if after quitting, I am fine for one and a half months, after that I am having the same problem again. Is.",2,h
18,"Sir, I don't think of anything, I just keep thinking the same things that have happened to me.",1,The Person is showing clear signs of depression such as overthinking.
19,"Hanji, who he is not with me like this, when it comes to him, no one tells him that he is very good, then I remember my wounds whether he did this to me, how is he good",0,i
20,"No, it's nothing like that, I was already staying at home for quite some time, so I started feeling like this while staying at home.",2,c
21,"No, it was not there at that time, I was studying.",0,i
22,"Job I didn't get a job, I just started approx of six months.",0,i
23,"No, it doesn't come now, but it used to come a lot earlier.",2,c
24,Then there was no crying after the medicine.,2,h
25,"Yes, all these used to come to me earlier.",0,i
26,"Yes, it is part time, this is my work, this is part time work.",0,i
